,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
113,2020-12-02Sale,2020-12-045:51 pm,JACK IN THE BOX INC,JACK,SUPER SARAH LVP,71,$92.47,"$6,565","2,971(Direct)",View
114,2020-12-02Sale,2020-12-045:51 pm,Grocery Outlet Holding Corp.,GO,Lindberg Eric J. Jr.CEO,"25,000",$37.56,"$939,000","25,136(IndirectDirect)",View
115,2020-12-02Sale,2020-12-045:53 pm,BEYOND MEAT Inc,BYND,WITTEMAN TERI LGeneral Counsel Secretary,221,$140.64,"$31,081","44,793(Direct)",View
116,2020-12-03Sale,2020-12-045:56 pm,Hyatt Hotels Corp,H,HOPLAMAZIAN MARK SAMUELDirector,"31,098",$75.2,"$2,338,570","341,080(Direct)",View
117,2020-12-02Sale,2020-12-045:58 pm,JACK IN THE BOX INC,JACK,TOM MARCUS DCOO,669,$92.47,"$61,862","7,969(Direct)",View
118,2020-12-04Sale,2020-12-045:58 pm,DiamondRock Hospitality Co,DRH,Quinn Briony R.VP,"10,000",$8.88,"$88,800","138,427(Direct)",View
119,2020-12-04Sale,2020-12-045:58 pm,CYTOKINETICS INC,CYTK,Blum Robert ICEO,"5,000",$17.36,"$86,798","305,589(IndirectDirect)",View
120,2020-12-03Sale,2020-12-045:58 pm,DiamondRock Hospitality Co,DRH,Furbay TroyCIO,"16,359",$8.34,"$136,434","247,783(Direct)",View
121,2020-12-03Sale,2020-12-045:58 pm,DiamondRock Hospitality Co,DRH,Tennis William JVP,"25,068",$8.26,"$207,062","290,117(Direct)",View
122,2020-12-02Sale,2020-12-046:03 pm,NEOGENOMICS INC,NEO,Bonello WilliamPresident,"8,000",$46.8,"$374,400","12,060(Direct)",View
123,2020-08-24Sale(A),2020-12-046:03 pm,Fastly Inc.,FSLY,Luongo PaulGeneral Counsel,"16,252",$84.72,"$1,376,949","267,924(Direct)",View
124,2020-12-04Sale,2020-12-046:04 pm,AssetMark Financial Holdings Inc.,AMK,Zyla Gary G.CFO,"1,389",$25.01,"$34,739","187,108(Direct)",View
125,2020-12-02Sale,2020-12-046:11 pm,American Homes 4 Rent,AMH,CORRIGAN JACK ECIO,"22,500",$29.34,"$660,150","190,000(IndirectDirect)",View
126,2020-12-03Sale,2020-12-046:11 pm,KKR Real Estate Finance Trust Inc.,KREF,KKR Group Partnership L.P.ROBERTS GEORGE RKRAVIS HENRY RKKR Management LLPKKR & Co. Inc.KKR Group Holdings Corp.10% Owner,"65,434",$18.54,"$1,213,313","1,512,386(Indirect)",View
127,2020-12-02Sale,2020-12-046:13 pm,Schrodinger Inc.,SDGR,SHAW DAVID ESchrodinger Equity Holdings LLC10% Owner,"207,239",$65.5,"$13,574,100","9,943,444(Indirect)",View
128,2020-12-03Sale,2020-12-046:16 pm,KKR Real Estate Finance Trust Inc.,KREF,Tactical Value SPN-KREF Holdings L.P.Tactical Value SPN-SPV GP LLCKKR Tactical Value SPN L.P.KKR Associates TV SPN L.P.KKR TV SPN GP Ltd10% Owner,"65,434",$18.54,"$1,213,313","1,512,386(Indirect)",View
129,2020-12-02Sale,2020-12-046:17 pm,Tenzing Acquisition Corp.,TZAC,GLAZER CAPITAL LLCGLAZER PAUL J10% Owner,261,$11,"$2,871","606,360(Indirect)",View
130,2020-12-03Sale,2020-12-046:22 pm,Elastic N.V.,ESTC,Garrett W.H. BairdVP,"25,000",$131.83,"$3,295,737","31,989(Direct)",View
131,2020-12-02Sale,2020-12-046:23 pm,Accel Entertainment Inc.,ACEL,Carroll Brian M.CFO,"60,000",$10.01,"$600,756","267,652(Direct)",View
132,2020-12-02Sale,2020-12-046:34 pm,CARVANA CO.,CVNA,GARCIA ERNEST C. IIVERDE INVESTMENTS Inc10% Owner,"13,360",$227,"$3,032,668",0(IndirectDirect),View
133,2020-12-02Sale,2020-12-046:37 pm,CARVANA CO.,CVNA,GARCIA ERNEST C. IIVERDE INVESTMENTS Inc10% Owner,"16,640",$234.82,"$3,907,344",0(IndirectDirect),View
134,2020-12-03Sale,2020-12-046:38 pm,KAISER ALUMINUM CORP,KALU,MARTIN LAURALEEDirector,"11,482",$89.14,"$1,023,448",0(IndirectDirect),View
135,2020-12-02Sale,2020-12-046:39 pm,CARVANA CO.,CVNA,GARCIA ERNEST C. IIVERDE INVESTMENTS Inc10% Owner,"2,000,000",$239.2,"$478,399,994",0(IndirectDirect),View
136,2020-12-04Sale,2020-12-046:40 pm,KAISER ALUMINUM CORP,KALU,HOCKEMA JACK ADirector,"5,000",$95.97,"$479,856","8,791(IndirectDirect)",View
137,2020-12-03Sale,2020-12-046:47 pm,Ares Management Corp,ARES,KAPLAN DAVID BChairman,"160,971",$46.63,"$7,505,720","9,899(Indirect)",View
138,2020-12-02Sale,2020-12-046:51 pm,CBIZ Inc.,CBZ,GRISKO JEROME PCEO,"22,000",$24.19,"$532,094","117,642(IndirectDirect)",View
